task_id,repo,score,false_acceptance,manual_audit_status,probe_status,qwen_status,reason
mwaskom__seaborn-3407,mwaskom/seaborn,12,True,retain,main_pass_fail,qwen_issue_specific,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit;qwen_issue_specific
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,11,True,retain,main_pass_fail,qwen_package_integrity,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit;qwen_package_integrity
matplotlib__matplotlib-24149,matplotlib/matplotlib,10,True,retain,main_pass_fail,not_qwen_positive,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit
psf__requests-2148,psf/requests,10,True,retain,extra_pass_fail,not_qwen_positive,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit
pydata__xarray-4094,pydata/xarray,10,True,retain,extra_pass_fail,not_qwen_positive,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit
pylint-dev__pylint-7114,pylint-dev/pylint,10,True,retain,extra_pass_fail,not_qwen_positive,heldout_false_acceptance;stronger_probe_pass_fail;retained_audit
mwaskom__seaborn-3190,mwaskom/seaborn,8,True,retain,not_upgraded,qwen_package_integrity,heldout_false_acceptance;retained_audit;qwen_package_integrity
pallets__flask-5063,pallets/flask,8,True,retain,extra_no_bdc,qwen_package_integrity,heldout_false_acceptance;retained_audit;qwen_package_integrity
astropy__astropy-14365,astropy/astropy,7,True,retain,main_no_bdc,not_qwen_positive,heldout_false_acceptance;retained_audit
mwaskom__seaborn-2848,mwaskom/seaborn,7,True,retain,extra_all_fail_divergence,not_qwen_positive,heldout_false_acceptance;retained_audit
pylint-dev__pylint-6506,pylint-dev/pylint,7,True,retain,extra_no_bdc,not_qwen_positive,heldout_false_acceptance;retained_audit
pytest-dev__pytest-11148,pytest-dev/pytest,7,True,retain,main_no_bdc,not_qwen_positive,heldout_false_acceptance;retained_audit
pytest-dev__pytest-8906,pytest-dev/pytest,7,True,retain,main_no_bdc,not_qwen_positive,heldout_false_acceptance;retained_audit
django__django-16255,django/django,5,False,retain,main_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
django__django-16873,django/django,5,False,retain,main_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
marshmallow-code__marshmallow-1343,marshmallow-code/marshmallow,5,False,retain,extra_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
matplotlib__matplotlib-23562,matplotlib/matplotlib,5,True,downgrade,not_upgraded,not_qwen_positive,heldout_false_acceptance
pallets__flask-4992,pallets/flask,5,False,retain,extra_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
pvlib__pvlib-python-1072,pvlib/pvlib-python,5,False,retain,extra_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
pylint-dev__pylint-7228,pylint-dev/pylint,5,True,downgrade,not_upgraded,not_qwen_positive,heldout_false_acceptance
sphinx-doc__sphinx-7686,sphinx-doc/sphinx,5,True,downgrade,not_upgraded,not_qwen_positive,heldout_false_acceptance
sympy__sympy-16106,sympy/sympy,5,True,downgrade,not_upgraded,not_qwen_positive,heldout_false_acceptance
sympy__sympy-23117,sympy/sympy,5,False,retain,main_pass_fail,not_qwen_positive,stronger_probe_pass_fail;retained_audit
marshmallow-code__marshmallow-1359,marshmallow-code/marshmallow,2,False,retain,extra_no_bdc,not_qwen_positive,retained_audit
mwaskom__seaborn-3010,mwaskom/seaborn,2,False,retain,not_upgraded,not_qwen_positive,retained_audit
sympy__sympy-17655,sympy/sympy,2,False,retain,main_no_bdc,not_qwen_positive,retained_audit
pydata__xarray-5131,pydata/xarray,0,False,downgrade,not_upgraded,not_qwen_positive,
pylint-dev__pylint-5859,pylint-dev/pylint,0,False,downgrade,not_upgraded,not_qwen_positive,
pylint-dev__pylint-7993,pylint-dev/pylint,0,False,downgrade,not_upgraded,not_qwen_positive,
sphinx-doc__sphinx-8713,sphinx-doc/sphinx,0,False,downgrade,not_upgraded,not_qwen_positive,
