selection_rank,task_id,repo,selection_score,snapshot_built,candidate_slots,paper_funnel_status,frozen30,certificate_id_suffix,probe_layer,evidence_strength,pass_count,fail_count,drop_reason,boundary_note
1,pytest-dev__pytest-11148,pytest-dev/pytest,184,true,4,frozen_conservative_certificate,true,3cff0f721708,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
2,pytest-dev__pytest-7220,pytest-dev/pytest,184,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
3,pytest-dev__pytest-8906,pytest-dev/pytest,184,true,4,frozen_conservative_certificate,true,cb7eaf9885ac,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
4,pytest-dev__pytest-9359,pytest-dev/pytest,184,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
5,pytest-dev__pytest-5103,pytest-dev/pytest,180,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
6,pytest-dev__pytest-7373,pytest-dev/pytest,180,true,4,broad_certificate_not_frozen,false,e41f8de1ba76,source_isolated_template,behavior_disagreement_only,0,4,broad all-fail behavior disagreement excluded from conservative pass/fail frozen 30,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
7,pylint-dev__pylint-6506,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,06fcb3b2d69e,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
8,pylint-dev__pylint-7114,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,b714f48a9383,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
9,pylint-dev__pylint-7228,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,08ad59d2c58e,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
10,pylint-dev__pylint-7993,pylint-dev/pylint,172,true,4,frozen_conservative_certificate,true,d91ebc3f5f81,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
